id_equipo	ip_equipo	nem_equipo	grupo	tipo	consultar	activo
80	10.199.16.251	AALACRCMN1W1N01A01END1	CR_METRO	huawei	SI	
81	10.199.20.5	AALACRCNN1W1N01A01END1	CR_METRO	huawei	SI	
82	10.192.9.69	AALACRCON1P1IAM1	CR_METRO	cisco_ios	SI	
83	10.199.17.66	AALACRCPN1W1N01A01END1	CR_METRO	huawei	SI	
84	10.199.24.120	AALACRCRN1W1N01A01END1	CR_METRO	huawei	SI	
85	10.199.1.115	AALACRCSN1W1N01A01END1	CR_METRO	huawei	SI	
86	10.199.23.178	AALACRCVN1W1N01A01END1	CR_METRO	huawei	SI	
87	10.199.16.122	AALACRCYN1W1N01A01END1	CR_METRO	huawei	SI	
88	10.199.16.123	AALACRCZN1W1N01A01END1	CR_METRO	huawei	SI	
89	10.199.24.123	AALACRDAN1W1N01A01END1	CR_METRO	huawei	SI	
90	10.199.19.61	AALACRDEN1W1N01A01END1	CR_METRO	huawei	SI	
91	10.199.16.245	AALACRDIN1W1N01A01END1	CR_METRO	huawei	SI	
92	10.199.24.119	AALACRDLN1W1N01A01END1	CR_METRO	huawei	SI	
93	10.199.20.4	AALACREBN1W1N01A01END1	CR_METRO	huawei	SI	
94	10.199.20.6	AALACRECN1W1N01A01END1	CR_METRO	huawei	SI	
95	10.199.16.121	AALACREDN1W1N01A01END1	CR_METRO	huawei	SI	
96	10.199.20.7	AALACREFN1W1N01A01END1	CR_METRO	huawei	SI	
97	10.199.16.242	AALACRELN1W1N01A01END1	CR_METRO	huawei	SI	
98	10.199.21.117	AALACREON1W1N01A01END1	CR_METRO	huawei	SI	
99	10.199.20.8	AALACRFDN1W1N01A01END1	CR_METRO	huawei	SI	
100	10.199.23.182	AALACRG2N1W1N01A01END1	CR_METRO	huawei	SI	
101	10.199.22.69	AALACRGAN1W1N01A01END1	CR_METRO	huawei	SI	
102	10.199.18.102	AALACRGJN1W1N01A01END1	CR_METRO	huawei	SI	
103	10.199.23.179	AALACRGLN1W1N01A01END1	CR_METRO	huawei	SI	
104	10.199.18.109	AALACRGTN1W1N01A01END1	CR_METRO	huawei	SI	
105	10.199.16.120	AALACRHAN1W1N01A01END1	CR_METRO	huawei	SI	
106	10.199.23.188	AALACRHGN1W1N01A01END1	CR_METRO	huawei	SI	
107	10.199.20.10	AALACRIAN1W1N01A01END1	CR_METRO	huawei	SI	
108	10.199.24.115	AALACRICN1W1N01A01END1	CR_METRO	huawei	SI	
109	10.199.18.104	AALACRILN1W1N01A01END1	CR_METRO	huawei	SI	
110	10.199.16.246	AALACRISN1W1N01A01END1	CR_METRO	huawei	SI	
111	10.199.25.90	AALACRITN1W1N01A01END1	CR_METRO	huawei	SI	
112	10.199.16.249	AALACRIYN1W1N01A01END1	CR_METRO	huawei	SI	
113	10.199.16.102	AALACRLCN1W1N01A01END1	CR_METRO	huawei	SI	
114	10.199.22.74	AALACRLON1W1N01A01END1	CR_METRO	huawei	SI	
115	10.199.16.21	AALACRMAN1W1N01A01END1	CR_METRO	huawei	SI	
116	10.199.22.73	AALACRMGN1W1N01A01END1	CR_METRO	huawei	SI	
117	10.199.8.20	AALACRMMN1W1N01A01END1	CR_METRO	huawei	SI	
118	10.199.16.19	AALACRMON1W1N01A01END1	CR_METRO	huawei	SI	
119	10.199.20.2	AALACROHN1W1N01A01END1	CR_METRO	huawei	SI	
120	10.199.16.22	AALACRPAN1W1N01A01END1	CR_METRO	huawei	SI	
121	10.199.16.115	AALACRPEN1W1N01A01END1	CR_METRO	huawei	SI	
122	10.192.9.70	AALACRPJN1P1IAM1	CR_METRO	cisco_ios	SI	
123	10.199.20.53	AALACRPPN1W1N01A01END1	CR_METRO	huawei	SI	
124	10.199.16.250	AALACRPRN1W1N01A01END1	CR_METRO	huawei	SI	
125	10.199.23.185	AALACRPUN1W1N01A01END1	CR_METRO	huawei	SI	
126	10.199.24.118	AALACRRAN1W1N01A01END1	CR_METRO	huawei	SI	
127	10.199.23.189	AALACRRCN1W1N01A01END1	CR_METRO	huawei	SI	
128	10.199.23.184	AALACRREN1W1N01A01END1	CR_METRO	huawei	SI	
129	10.199.18.110	AALACRRHN1W1N01A01END1	CR_METRO	huawei	SI	
130	10.199.16.26	AALACRRLN1W1N01A01END1	CR_METRO	huawei	SI	
131	10.199.16.244	AALACRRMN1W1N01A01END1	CR_METRO	huawei	SI	
132	10.199.16.3	AALACRRON1W1N01A01END1	CR_METRO	huawei	SI	
133	10.199.19.51	AALACRRPN1W1N01A01END1	CR_METRO	huawei	SI	
134	10.199.16.118	AALACRRRN1W1N01A01END1	CR_METRO	huawei	SI	
135	10.199.18.204	AALACRRSN1W1N01A01END1	CR_METRO	huawei	SI	
136	10.199.18.100	AALACRRVN1W1N01A01END1	CR_METRO	huawei	SI	
137	10.199.18.103	AALACRRYN1W1N01A01END1	CR_METRO	huawei	SI	
138	10.199.17.69	AALACRSEN1W1N01A01END1	CR_METRO	huawei	SI	
139	10.199.20.85	AALACRSFN1W1N01A01END1	CR_METRO	huawei	SI	
140	10.199.16.248	AALACRSNN1W1N01A01END1	CR_METRO	huawei	SI	
141	10.199.16.2	AALACRSRN1W1N01A01END1	CR_METRO	huawei	SI	
142	10.199.16.243	AALACRSTN1W1N01A01END1	CR_METRO	huawei	SI	
143	10.199.24.116	AALACRT2N1W1N01A01END1	CR_METRO	huawei	SI	
144	10.192.9.67	AALACRTAN1P1IAM1	CR_METRO	cisco_ios	SI	
145	10.199.16.25	AALACRTCN1W1N01A01END1	CR_METRO	huawei	SI	
146	10.199.16.114	AALACRTEN1W1N01A01END1	CR_METRO	huawei	SI	
147	10.199.21.114	AALACRTMN1W1N01A01END1	CR_METRO	huawei	SI	
148	10.199.18.105	AALACRTON1W1N01A01END1	CR_METRO	huawei	SI	
149	10.199.20.12	AALACRTSN1W1N01A01END1	CR_METRO	huawei	SI	
150	10.199.16.117	AALACRTTN1W1N01A01END1	CR_METRO	huawei	SI	
151	10.199.18.99	AALACRU2N1W1N01A01END1	CR_METRO	huawei	SI	
152	10.199.23.186	AALACRV2N1W1N01A01END1	CR_METRO	huawei	SI	
153	10.199.18.101	AALACRVAN1W1N01A01END1	CR_METRO	huawei	SI	
154	10.199.20.9	AALACRVCN1W1N01A01END1	CR_METRO	huawei	SI	
155	10.199.23.40	AALACRVHN1W1N01A01END1	CR_METRO	huawei	SI	
156	10.199.16.126	AALACRVSN1W1N01A01END1	CR_METRO	huawei	SI	
157	10.199.18.107	AALACRVUN1W1N01A01END1	CR_METRO	huawei	SI	
158	10.199.18.108	AALACRWCN1W1N01A01END1	CR_METRO	huawei	SI	
159	10.199.20.13	AALACRZFN1W1N01A01END1	CR_METRO	huawei	SI	
160	10.199.23.183	AALACRZRN1W1N01A01END1	CR_METRO	huawei	SI	
161	10.199.25.242	AARUCRSTN1W1N01A01END1	CR_METRO	huawei	SI	
162	10.199.20.77	AARUCRZAN1W1N01A01END1	CR_METRO	huawei	SI	
163	10.199.22.72	AATECRABN1W1N01A01END1	CR_METRO	huawei	SI	
164	10.192.9.106	AATECRATN1T1FFM1	CR_METRO		SI	
165	10.199.22.77	AATECRBAN1W1N01A01END1	CR_METRO	huawei	SI	
166	10.199.22.76	AATECRCBN1W1N01A01END1	CR_METRO	huawei	SI	
